query,matched_text,rank
TS Mindestens ein vegetarisches oder veganes Gericht pro Mahlzeit wird angeboten.,"To match the guideline ""TS Mindestens ein vegetarisches oder veganes Gericht pro Mahlzeit wird angeboten"" with the provided requirements, we need to identify the requirements that specifically address the offering of vegetarian or vegan meals. Here are the most relevant requirements ranked by their relevance:",1
TS Mindestens ein vegetarisches oder veganes Gericht pro Mahlzeit wird angeboten.,"1. **""Für Kinder die vegetarisch oder kein Schweinefleisch essen wird jeden Tag eine Eiweisskomponente auf vegetarischer Basis angeboten.""**",2
TS Mindestens ein vegetarisches oder veganes Gericht pro Mahlzeit wird angeboten.,"- This requirement directly addresses the need for vegetarian options, confirming that a vegetarian protein component will be available daily.",3
TS Mindestens ein vegetarisches oder veganes Gericht pro Mahlzeit wird angeboten.,"2. **""Die Hauptgerichte gestalten Sie: 3 Hauptmahlzeiten pro Woche vegetarisch.""**",4
TS Mindestens ein vegetarisches oder veganes Gericht pro Mahlzeit wird angeboten.,"- This requirement specifies that three main meals per week will be vegetarian, which aligns with the guideline of offering vegetarian options.",5
TS Mindestens ein vegetarisches oder veganes Gericht pro Mahlzeit wird angeboten.,"3. **""Die Hauptgerichte gestalten Sie: 1 Hauptmahlzeit pro Woche abwechselnd Fleisch oder Geflügel.""**",6
TS Mindestens ein vegetarisches oder veganes Gericht pro Mahlzeit wird angeboten.,"- While this requirement mentions meat, it also implies that there are vegetarian options available in the meal rotation.",7
TS Mindestens ein vegetarisches oder veganes Gericht pro Mahlzeit wird angeboten.,"4. **""Sie produzieren warm zu servierende Speisen zu 70% (gemessen über das Gewicht) mittels «Cook and chill».""**",8
TS Mindestens ein vegetarisches oder veganes Gericht pro Mahlzeit wird angeboten.,"- This requirement indicates the method of preparation but does not directly address vegetarian options. However, it suggests a focus on quality and variety in meal preparation, which can include vegetarian dishes.",9
TS Mindestens ein vegetarisches oder veganes Gericht pro Mahlzeit wird angeboten.,"5. **""Ihre Menüs sind variantenreich in Bezug auf Abwechslung.""**",10
TS Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte).,"To match the guideline ""TS Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte)"" with the provided requirements, we need to identify the requirements that specifically address the vegetarian offerings in the meal plans. Here are the most relevant requirements ranked based on their relevance to the guideline:",1
TS Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte).,"1. **""Die Hauptgerichte gestalten Sie: 3 Hauptmahlzeiten pro Woche vegetarisch""** - This directly states that 3 out of the main meals per week are vegetarian, which supports the guideline of having at least 50% vegetarian options.",2
TS Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte).,"2. **""Für Kinder die vegetarisch oder kein Schweinefleisch essen wird jeden Tag eine Eiweisskomponente auf vegetarischer Basis angeboten.""** - This indicates that there is a daily vegetarian protein option available, which contributes to the overall vegetarian offerings.",3
TS Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte).,"3. **""Die Menüs sind variantenreich in Bezug auf Abwechslung.""** - While this is more general, it implies that there will be a variety of meals, which could include more vegetarian options.",4
TS Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte).,"4. **""Sie produzieren warm zu servierende Speisen zu 70% (gemessen über das Gewicht) mittels «Cook and chill».""** - This requirement does not directly mention vegetarian options but indicates a focus on warm meals, which could include vegetarian dishes.",5
TS Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte).,"5. **""Die Planung soll «rollend auf weisses Papier» erfolgen und erlaubt den Standorten ein direktes Mitspracherecht.""** - This suggests that there is flexibility in meal planning, which could allow for more vegetarian options to be included based on feedback.",6
TS Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte).,"These requirements collectively support the guideline by ensuring a significant portion of the meals offered are vegetarian, thus meeting the 50% threshold.",7
ZK Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte).,"To match the guideline ""ZK Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte)"" with the provided requirements, we need to identify the requirements that specifically address the vegetarian offerings in the meal plans. Here are the most relevant requirements ranked based on their relevance to the guideline:",1
ZK Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte).,"1. **""Die Hauptgerichte gestalten Sie: 3 Hauptmahlzeiten pro Woche vegetarisch""** - This directly states that 3 out of the main meals per week must be vegetarian, which supports the guideline of having at least 50% vegetarian options.",2
ZK Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte).,"2. **""Für Kinder die vegetarisch oder kein Schweinefleisch essen wird jeden Tag eine Eiweisskomponente auf vegetarischer Basis angeboten.""** - This indicates that there will be a daily vegetarian protein option available, further supporting the vegetarian offerings.",3
ZK Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte).,"3. **""Die Produktion folgt einer Ernährungsphilosophie auf Basis einer aktuellen wissenschaftlicher Grundlage.""** - While this is more general, it implies that the meal planning will be based on nutritional guidelines, which may include considerations for vegetarian diets.",4
ZK Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte).,"4. **""Sie produzieren warm zu servierende Speisen zu 70% (gemessen über das Gewicht) mittels «Cook and chill».""** - This requirement indicates the method of preparation but does not directly address vegetarian options. However, it is relevant as it pertains to the overall meal production process.",5
ZK Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte).,"5. **""Die Menüs sind variantenreich in Bezug auf Abwechslung.""** - This suggests that the menus will be diverse, which could include a variety of vegetarian options, although it does not specify the percentage.",6
ZK Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte).,"6. **""Sie achten auf fettarme Eiweisskomponenten.""** - This requirement is relevant as it may pertain to the types of vegetarian options provided, focusing on healthier choices.",7
ZK Mindestens 50% des Tagesangebots sind vegetarisch (von der Gesamtzahl der salzigen Gerichte).,These requirements collectively support the guideline of ensuring that at least 50% of the daily offerings are vegetarian by specifying the number of vegetarian meals and the commitment to providing vegetarian options.,8
TS Mindestens 1 Tag in der Woche ist 100% vegetarisch (gesamtes Tagesangebot).,"To match the guideline ""TS Mindestens 1 Tag in der Woche ist 100% vegetarisch (gesamtes Tagesangebot)"" with the provided requirements, we need to identify the requirements that specifically address vegetarian meal offerings and dietary guidelines. Here are the most relevant requirements ranked based on their relevance to the guideline:",1
TS Mindestens 1 Tag in der Woche ist 100% vegetarisch (gesamtes Tagesangebot).,"1. **""Die Hauptgerichte gestalten Sie: 3 Hauptmahlzeiten pro Woche vegetarisch""** - This requirement directly supports the guideline by specifying that three main meals per week must be vegetarian, aligning with the need for at least one fully vegetarian day.",2
TS Mindestens 1 Tag in der Woche ist 100% vegetarisch (gesamtes Tagesangebot).,"2. **""Für Kinder die vegetarisch oder kein Schweinefleisch essen wird jeden Tag eine Eiweisskomponente auf vegetarischer Basis angeboten.""** - This requirement ensures that there is a vegetarian protein option available every day, which complements the guideline of having a vegetarian day.",3
TS Mindestens 1 Tag in der Woche ist 100% vegetarisch (gesamtes Tagesangebot).,"3. **""Die Hauptgerichte gestalten Sie: 1 Hauptmahlzeit pro Woche abwechselnd Fleisch oder Geflügel""** - While this requirement mentions meat, it indicates a structured approach to meal planning that includes vegetarian options, reinforcing the guideline.",4
TS Mindestens 1 Tag in der Woche ist 100% vegetarisch (gesamtes Tagesangebot).,"4. **""Die Menüs sind variantenreich in Bezug auf Abwechslung.""** - This requirement suggests that the meal offerings will be diverse, which can include a variety of vegetarian options, supporting the guideline indirectly.",5
TS Mindestens 1 Tag in der Woche ist 100% vegetarisch (gesamtes Tagesangebot).,"5. **""Sie achten auf fettarme Eiweisskomponenten.""** - This requirement implies a focus on healthy meal options, which can include vegetarian sources of protein, aligning with the overall goal of healthy eating.",6
TS Mindestens 1 Tag in der Woche ist 100% vegetarisch (gesamtes Tagesangebot).,"6. **""Sie produzieren warm zu servierende Speisen zu 70% (gemessen über das Gewicht) mittels «Cook and chill».""** - While this requirement is more about the cooking method, it indicates a commitment to quality meal preparation, which can include vegetarian meals.",7
TS Mindestens 1 Tag in der Woche ist 100% vegetarisch (gesamtes Tagesangebot).,These requirements collectively support the guideline of ensuring at least one day per week is fully vegetarian by establishing a framework for meal planning that includes vegetarian options.,8
ZK Mindestens 1 Tag in der Woche ist 100% vegetarisch (gesamtes Tagesangebot).,"To match the guideline ""ZK Mindestens 1 Tag in der Woche ist 100% vegetarisch (gesamtes Tagesangebot)"" with the provided requirements, we need to identify the requirements that specifically address vegetarian meal offerings and dietary guidelines. Here are the most relevant requirements ranked based on their relevance to the guideline:",1
ZK Mindestens 1 Tag in der Woche ist 100% vegetarisch (gesamtes Tagesangebot).,"1. **""Die Hauptgerichte gestalten Sie: 3 Hauptmahlzeiten pro Woche vegetarisch""** - This requirement directly supports the guideline by specifying that three main meals per week must be vegetarian, which aligns with the need for at least one day of 100% vegetarian offerings.",2
ZK Mindestens 1 Tag in der Woche ist 100% vegetarisch (gesamtes Tagesangebot).,"2. **""Für Kinder die vegetarisch oder kein Schweinefleisch essen wird jeden Tag eine Eiweisskomponente auf vegetarischer Basis angeboten.""** - This requirement ensures that there is a vegetarian protein option available every day, supporting the guideline's emphasis on vegetarian meals.",3
ZK Mindestens 1 Tag in der Woche ist 100% vegetarisch (gesamtes Tagesangebot).,"3. **""Die Menüs sind variantenreich in Bezug auf Abwechslung.""** - While this requirement is more general, it implies that the meal offerings will include a variety of options, which can include vegetarian meals.",4
ZK Mindestens 1 Tag in der Woche ist 100% vegetarisch (gesamtes Tagesangebot).,"4. **""Sie produzieren warm zu servierende Speisen zu 70% (gemessen über das Gewicht) mittels «Cook and chill».""** - This requirement indicates the method of food preparation, which can be relevant for ensuring that vegetarian meals are prepared properly, although it does not directly address vegetarian offerings.",5
ZK Mindestens 1 Tag in der Woche ist 100% vegetarisch (gesamtes Tagesangebot).,"5. **""Die Planung soll «rollend auf weisses Papier» erfolgen und erlaubt den Standorten ein direktes Mitspracherecht.""** - This suggests that there is flexibility in meal planning, which could allow for the incorporation of more vegetarian options based on feedback.",6
ZK Mindestens 1 Tag in der Woche ist 100% vegetarisch (gesamtes Tagesangebot).,"6. **""Ebenfalls kann es sein, dass die Politik nochmals eine komplett neue Richtung für dieses Geschäft vorgibt.""** - This indicates that there may be future changes in dietary guidelines, which could impact vegetarian meal offerings.",7
ZK Mindestens 1 Tag in der Woche ist 100% vegetarisch (gesamtes Tagesangebot).,These requirements collectively support the guideline by ensuring that there are sufficient vegetarian meal options available in the meal planning for the children in the Kitas and Tagesschulen.,8
TS Höchstens 120g Fleisch werden pro Gericht serviert.,"To match the guideline ""TS Höchstens 120g Fleisch werden pro Gericht serviert"" with the relevant requirements from the provided text, we need to identify sections that specifically mention meat portion sizes or related dietary guidelines. Here are the most relevant requirements ranked based on their direct relation to the guideline:",1
TS Höchstens 120g Fleisch werden pro Gericht serviert.,"1. **""Sie verarbeiten in 70% (in 7 von 10 Mahlzeiten) Fleisch/Geflügel/Fisch:""** - This requirement indicates the proportion of meat used in meals, which is crucial for understanding how the guideline of 120g per dish can be implemented.",2
TS Höchstens 120g Fleisch werden pro Gericht serviert.,"2. **""Die Hauptgerichte gestalten Sie: 1 Hauptmahlzeit pro Woche abwechselnd Fleisch oder Geflügel""** - This specifies the frequency of meat dishes, which is relevant to the overall meal planning and portion control.",3
TS Höchstens 120g Fleisch werden pro Gericht serviert.,"3. **""Verarbeitete Fleischwaren/Fleischzubereitungen wie Würste und Brätprodukte werden maximal 2x/Monat geplant""** - This indicates the limitation on processed meat products, which can help in maintaining the overall meat consumption within the guidelines.",4
TS Höchstens 120g Fleisch werden pro Gericht serviert.,"4. **""Die Hauptgerichte gestalten Sie: 3 Hauptmahlzeiten pro Woche vegetarisch""** - While this focuses on vegetarian meals, it indirectly supports the guideline by reducing the overall meat served.",5
TS Höchstens 120g Fleisch werden pro Gericht serviert.,"5. **""Sie achten auf fettarme Eiweisskomponenten.""** - This requirement emphasizes the quality of protein sources, which can relate to the types of meat served and their portion sizes.",6
TS Höchstens 120g Fleisch werden pro Gericht serviert.,"6. **""Die Produktion der Mahlzeiten ist max. 25km ab direkter Agglomeration Biel angesiedelt""** - While not directly related to meat portion sizes, it indicates the sourcing of ingredients, which can affect the quality and type of meat used.",7
TS Höchstens 120g Fleisch werden pro Gericht serviert.,These requirements collectively support the guideline by ensuring that meat portions are controlled and that the overall dietary quality is maintained in the meals served.,8
ZK Höchstens 120g Fleisch werden pro Gericht serviert.,"To match the guideline ""ZK Höchstens 120g Fleisch werden pro Gericht serviert"" with the relevant requirements, we need to identify sections in the requirements that specifically mention meat portions or related dietary guidelines. Here are the most relevant requirements ranked based on their direct relation to the guideline:",1
ZK Höchstens 120g Fleisch werden pro Gericht serviert.,"1. **""Sie verarbeiten in 70% (in 7 von 10 Mahlzeiten) Fleisch/Geflügel/Fisch:""** - This requirement indicates the proportion of meat used in meals, which is crucial for understanding how the guideline of 120g per dish can be implemented.",2
ZK Höchstens 120g Fleisch werden pro Gericht serviert.,"2. **""Fleisch/Geflügel in der Qualität «IP» oder «Bio Suisse» aus der Region (35km von Biel)""** - This requirement specifies the quality and sourcing of the meat, which is relevant to the guideline as it implies that the meat served must meet certain standards.",3
ZK Höchstens 120g Fleisch werden pro Gericht serviert.,"3. **""Die Hauptgerichte gestalten Sie: 3 Hauptmahlzeiten pro Woche vegetarisch, 1 Hauptmahlzeit pro Woche abwechselnd Fleisch oder Geflügel, 1 Hauptmahlzeit pro Woche Fisch.""** - This outlines the frequency of meat dishes, which is relevant to the guideline as it indicates how often meat is served.",4
ZK Höchstens 120g Fleisch werden pro Gericht serviert.,"4. **""Verarbeitete Fleischwaren/Fleischzubereitungen wie Würste und Brätprodukte werden maximal 2x/Monat geplant.""** - This requirement limits the use of processed meat products, which is relevant to the overall meat consumption guidelines.",5
ZK Höchstens 120g Fleisch werden pro Gericht serviert.,"5. **""Die Hauptgerichte bieten Sie ein Hauptgericht bestehend aus: Eiweisskomponente mit passender Sauce, Stärkebeilage, Gemüse und/oder Salat (mind. 2x Salat pro Woche).""** - While this does not directly mention meat, it indicates the structure of meals, which can help in understanding how to incorporate the meat portion within the overall meal.",6
ZK Höchstens 120g Fleisch werden pro Gericht serviert.,"These requirements collectively provide a framework for ensuring that the guideline of serving a maximum of 120g of meat per dish is adhered to, while also considering the quality and frequency of meat in the meals provided.",7
TS Höchstens 4 Gerichte im Monat enthalten Fisch.,"To match the guideline ""TS Höchstens 4 Gerichte im Monat enthalten Fisch"" (which translates to ""At most 4 dishes per month contain fish"") with the provided requirements, we need to identify the requirements that specifically address the frequency of fish dishes in the meal offerings.",1
TS Höchstens 4 Gerichte im Monat enthalten Fisch.,Here are the relevant requirements ranked based on their relevance to the guideline:,2
TS Höchstens 4 Gerichte im Monat enthalten Fisch.,"1. **""Die Hauptgerichte gestalten Sie: 3 Hauptmahlzeiten pro Woche vegetarisch, 1 Hauptmahlzeit pro Woche abwechselnd Fleisch oder Geflügel, 1 Hauptmahlzeit pro Woche Fisch.""**",3
TS Höchstens 4 Gerichte im Monat enthalten Fisch.,"- This requirement explicitly states that there will be one fish meal per week, which totals to 4 fish meals per month, directly aligning with the guideline.",4
TS Höchstens 4 Gerichte im Monat enthalten Fisch.,"2. **""Verarbeitete Fleischwaren/Fleischzubereitungen wie Würste und Brätprodukte werden maximal 2x/Monat geplant.""**",5
TS Höchstens 4 Gerichte im Monat enthalten Fisch.,"- While this requirement pertains to processed meat, it indicates a structured approach to meal planning, which may imply similar planning for fish dishes.",6
TS Höchstens 4 Gerichte im Monat enthalten Fisch.,"3. **""Die Hauptgerichte gestalten Sie: 3 Hauptmahlzeiten pro Woche vegetarisch, 1 Hauptmahlzeit pro Woche abwechselnd Fleisch oder Geflügel, 1 Hauptmahlzeit pro Woche Fisch.""**",7
TS Höchstens 4 Gerichte im Monat enthalten Fisch.,"- This requirement reiterates the structure of the main dishes, confirming the frequency of fish meals.",8
TS Höchstens 4 Gerichte im Monat enthalten Fisch.,"4. **""Sie produzieren in 70% (in 7 von 10 Mahlzeiten) Fleisch/Geflügel/Fisch.""**",9
TS Höchstens 4 Gerichte im Monat enthalten Fisch.,"- This requirement indicates the inclusion of fish in a broader context of protein sources, but does not specify the frequency of fish dishes directly.",10
ZK Höchstens 4 Gerichte im Monat enthalten Fisch.,"To match the guideline ""ZK Höchstens 4 Gerichte im Monat enthalten Fisch"" (which translates to ""At most 4 dishes per month may contain fish"") with the provided requirements, we need to identify the sections that specifically mention the frequency of fish dishes in the meal plans.",1
ZK Höchstens 4 Gerichte im Monat enthalten Fisch.,Here are the most relevant requirements ranked based on their relevance to the guideline:,2
ZK Höchstens 4 Gerichte im Monat enthalten Fisch.,"1. **""Die Hauptgerichte gestalten Sie: 3 Hauptmahlzeiten pro Woche vegetarisch, 1 Hauptmahlzeit pro Woche abwechselnd Fleisch oder Geflügel, 1 Hauptmahlzeit pro Woche Fisch.""**",3
ZK Höchstens 4 Gerichte im Monat enthalten Fisch.,"- This directly states the frequency of fish dishes, indicating that there is one fish dish per week, which totals to 4 fish dishes per month.",4
ZK Höchstens 4 Gerichte im Monat enthalten Fisch.,"2. **""Verarbeitete Fleischwaren/Fleischzubereitungen wie Würste und Brätprodukte werden maximal 2x/Monat geplant.""**",5
ZK Höchstens 4 Gerichte im Monat enthalten Fisch.,"- While this requirement pertains to processed meat, it indicates a similar structure of limiting certain types of dishes, which aligns with the guideline's intent of controlling the frequency of specific ingredients.",6
ZK Höchstens 4 Gerichte im Monat enthalten Fisch.,"3. **""Für Kinder die vegetarisch oder kein Schweinefleisch essen wird jeden Tag eine Eiweisskomponente auf vegetarischer Basis angeboten.""**",7
ZK Höchstens 4 Gerichte im Monat enthalten Fisch.,"- This requirement emphasizes the provision of vegetarian options, which indirectly supports the guideline by ensuring that not all meals are fish-based, thus maintaining a balance.",8
ZK Höchstens 4 Gerichte im Monat enthalten Fisch.,"4. **""Die Hauptgerichte gestalten Sie: 3 Hauptmahlzeiten pro Woche vegetarisch.""**",9
ZK Höchstens 4 Gerichte im Monat enthalten Fisch.,"- This reinforces the idea of having a variety of meals, which includes vegetarian options, thus limiting the overall frequency of fish dishes.",10
"TS 100% der vegetarischen und veganen Gerichte sind klar als solche gekennzeichnet, und zwar auf eine leicht
erkennbare und attraktive Weise.","To match the guideline regarding the clear and attractive labeling of vegetarian and vegan dishes with the provided requirements, we need to identify the requirements that specifically address the labeling and presentation of meals, particularly vegetarian and vegan options.",1
"TS 100% der vegetarischen und veganen Gerichte sind klar als solche gekennzeichnet, und zwar auf eine leicht
erkennbare und attraktive Weise.",Here are the most relevant requirements ranked based on their relevance to the guideline:,2
"TS 100% der vegetarischen und veganen Gerichte sind klar als solche gekennzeichnet, und zwar auf eine leicht
erkennbare und attraktive Weise.",1. **Detaillierte Angaben für Vegetarier und Allergiker.**,3
"TS 100% der vegetarischen und veganen Gerichte sind klar als solche gekennzeichnet, und zwar auf eine leicht
erkennbare und attraktive Weise.","This requirement directly relates to the need for clear labeling of vegetarian dishes, ensuring that the meals are appropriately identified for those who follow vegetarian or vegan diets.",4
"TS 100% der vegetarischen und veganen Gerichte sind klar als solche gekennzeichnet, und zwar auf eine leicht
erkennbare und attraktive Weise.",2. **Deklaration der Herkunft und Qualität «Label» der Lebensmittel.**,5
"TS 100% der vegetarischen und veganen Gerichte sind klar als solche gekennzeichnet, und zwar auf eine leicht
erkennbare und attraktive Weise.","This requirement emphasizes the need for clear labeling of food quality and origin, which can include vegetarian and vegan options, making it relevant to the guideline.",6
"TS 100% der vegetarischen und veganen Gerichte sind klar als solche gekennzeichnet, und zwar auf eine leicht
erkennbare und attraktive Weise.",3. **Einsicht zu Nährwerten.**,7
"TS 100% der vegetarischen und veganen Gerichte sind klar als solche gekennzeichnet, und zwar auf eine leicht
erkennbare und attraktive Weise.","While not directly about labeling, providing nutritional information can enhance the attractiveness and clarity of vegetarian and vegan options, aligning with the guideline's intent.",8
"TS 100% der vegetarischen und veganen Gerichte sind klar als solche gekennzeichnet, und zwar auf eine leicht
erkennbare und attraktive Weise.",4. **Detaillierte Angaben zu den Nährwerten der Lebensmittel.**,9
"TS 100% der vegetarischen und veganen Gerichte sind klar als solche gekennzeichnet, und zwar auf eine leicht
erkennbare und attraktive Weise.","Similar to the previous point, this requirement supports the idea of clear communication about the meals, which can include vegetarian and vegan dishes.",10
"TS Während mindestens zwei aufeinanderfolgenden Wochen pro Jahr werden alle Lebensmittelabfälle durch einen internen Prozess und/oder externe Zusammenarbeit gemessen und identifiziert. Die Resultate sowie die Daten werden aufgeschlüsselt nach Produktkategorie, vermeidbar/unvermeidbar und nach Ursache (z.B. Überproduktion, Tellerrückläufe, etc.) dem Auftraggeber zur Verfügung gestellt. Die Resultate müssen ins Verhältnis gesetzt werden zur eingekauften Menge Lebensmittel oder Anzahl ausgegebener Menüs. Basierend auf den Resultaten werden klare Reduktionsziele gesetzt und im Folgejahr überprüft.","To match the guideline with the relevant requirements, we need to identify the requirements that pertain to measuring and reporting food waste, setting reduction goals, and ensuring compliance with the specified standards. Here are the most relevant requirements ranked based on their alignment with the guideline:",1
"TS Während mindestens zwei aufeinanderfolgenden Wochen pro Jahr werden alle Lebensmittelabfälle durch einen internen Prozess und/oder externe Zusammenarbeit gemessen und identifiziert. Die Resultate sowie die Daten werden aufgeschlüsselt nach Produktkategorie, vermeidbar/unvermeidbar und nach Ursache (z.B. Überproduktion, Tellerrückläufe, etc.) dem Auftraggeber zur Verfügung gestellt. Die Resultate müssen ins Verhältnis gesetzt werden zur eingekauften Menge Lebensmittel oder Anzahl ausgegebener Menüs. Basierend auf den Resultaten werden klare Reduktionsziele gesetzt und im Folgejahr überprüft.",1. **Reporting and Measurement of Food Waste**:,2
"TS Während mindestens zwei aufeinanderfolgenden Wochen pro Jahr werden alle Lebensmittelabfälle durch einen internen Prozess und/oder externe Zusammenarbeit gemessen und identifiziert. Die Resultate sowie die Daten werden aufgeschlüsselt nach Produktkategorie, vermeidbar/unvermeidbar und nach Ursache (z.B. Überproduktion, Tellerrückläufe, etc.) dem Auftraggeber zur Verfügung gestellt. Die Resultate müssen ins Verhältnis gesetzt werden zur eingekauften Menge Lebensmittel oder Anzahl ausgegebener Menüs. Basierend auf den Resultaten werden klare Reduktionsziele gesetzt und im Folgejahr überprüft.","- ""Der Anbieter verpflichtet sich, jährlich eine Bilanz des Gesamtwareneinsatzes (Einkaufswerte über das Jahr gesehen) zu erstellen.""",3
"TS Während mindestens zwei aufeinanderfolgenden Wochen pro Jahr werden alle Lebensmittelabfälle durch einen internen Prozess und/oder externe Zusammenarbeit gemessen und identifiziert. Die Resultate sowie die Daten werden aufgeschlüsselt nach Produktkategorie, vermeidbar/unvermeidbar und nach Ursache (z.B. Überproduktion, Tellerrückläufe, etc.) dem Auftraggeber zur Verfügung gestellt. Die Resultate müssen ins Verhältnis gesetzt werden zur eingekauften Menge Lebensmittel oder Anzahl ausgegebener Menüs. Basierend auf den Resultaten werden klare Reduktionsziele gesetzt und im Folgejahr überprüft.",- This requirement directly relates to the guideline's emphasis on measuring food waste and providing data.,4
